operator,product_mode,checked_at,attribute,display,value_json,status,conditions,source_urls
Jackpota,entertainment_only,2026-09-10,signup,Not applicable,null,not_applicable,Ordinary Gold Coin play has no prize redemption.,https://www.jackpota.com/terms-of-service
Jackpota,entertainment_only,2026-09-10,daily,Not applicable,null,not_applicable,Free Gold Coins every 24 hours; amount not verified. Gold Coins have no cash value.,https://www.jackpota.com/terms-of-service | https://www.jackpota.com/
Jackpota,entertainment_only,2026-09-10,firstPurchase,Not applicable,null,not_applicable,Ordinary Gold Coin play has no prize redemption.,https://www.jackpota.com/terms-of-service
Jackpota,entertainment_only,2026-09-10,cashMinimum,Not applicable,null,not_applicable,Ordinary Gold Coin play has no prize redemption.,https://www.jackpota.com/terms-of-service
Jackpota,entertainment_only,2026-09-10,giftCardMinimum,Not applicable,null,not_applicable,Ordinary Gold Coin play has no prize redemption.,https://www.jackpota.com/terms-of-service
Jackpota,entertainment_only,2026-09-10,playthrough,Not applicable,null,not_applicable,Ordinary Gold Coin play has no prize redemption.,https://www.jackpota.com/terms-of-service
Lucky Bunny,unverified,2026-09-10,signup,Not verified,null,unverified,,
Lucky Bunny,unverified,2026-09-10,daily,Not verified,null,unverified,,
Lucky Bunny,unverified,2026-09-10,firstPurchase,Not verified,null,unverified,Public Quick Buy packages are not a verified first-purchase promotion.,
Lucky Bunny,unverified,2026-09-10,cashMinimum,Not verified,null,unverified,,
Lucky Bunny,unverified,2026-09-10,giftCardMinimum,Not verified,null,unverified,,
Lucky Bunny,unverified,2026-09-10,playthrough,Not verified,null,unverified,,
YAY Casino,sweepstakes,2026-09-10,signup,Conflicting offers,null,conflicting,Homepage: 12 SC. Promotions page: 8 SC. No-purchase signup; verification required. Neither amount is confirmed.,https://www.yaycasino.com/ | https://www.yaycasino.com/promotions
YAY Casino,sweepstakes,2026-09-10,daily,1 SC first claim,"{""firstClaimSc"":1,""intervalHours"":24}",operator_stated,"Claims every 24 hours, subject to an unpublished SC-balance threshold. Later streak amounts are not verified.",https://www.yaycasino.com/promotions | https://www.yaycasino.com/promotions/promo/online-casino-daily-login-bonus | https://www.yaycasino.com/api/Document/ContentPage/sweeps-rules.pdf
