"operator","attribute","label","note","source_url","observed_at","status","record_id","conditions"
"WOW Vegas","signup","2 SC free","5 SC total over 3 days","https://www.wowvegas.com/promo-code","2026-09-24T22:08:41.165Z","published","c6ed8aa306f6b3c595c4","Available to claim after sign-up. | SC is scheduled as Day 1: SC 2, Day 2: SC 1.5, and Day 3: SC 1.5."
"WOW Vegas","purchase","30 SC for $9.99","3 SC per $1. First purchase only.","https://www.wowvegas.com/promo-code","2026-09-24T22:08:41.165Z","published","8f65c194a67d853333f9","First purchase only. | Normally $29.99. | Instant coin delivery."
"WOW Vegas","redemption","Up to 3 business days","Processing; Rising-Silver tiers","https://help.wowvegas.com/en/articles/10676690-how-long-does-a-redemption-take","2026-09-24T22:09:51.357Z","published","5a8239c33e85b02ce19f","Within 3 business days."
"WOW Vegas","cash","50 SC","Cash redemption minimum.","https://help.wowvegas.com/en/articles/10676686-how-do-i-redeem","2026-09-24T22:05:30.561Z","published","657702ec5c98f533df6d","Blue WOW Coins cannot be redeemed, as they have no monetary value."
"WOW Vegas","gift","20 SC","Gift-card redemption minimum.","https://help.wowvegas.com/en/articles/10676686-how-do-i-redeem","2026-09-24T22:05:30.561Z","published","487a40e7af2b0419c5f2","Blue WOW Coins cannot be redeemed, as they have no monetary value."
"Chumba Casino","signup","2 SC free","On signup; no purchase","https://www.chumbacasino.com/promotions","2026-09-24T22:06:57.073Z","published","1d74359f324fd98eeac0","Sign up to claim your peachy welcome offer! | GC 2,000,000 + SC 2**"
"Chumba Casino","purchase","30 SC for $10","3 SC per $1. First purchase only.","https://www.chumbacasino.com/","2026-09-24T22:05:02.122Z","published","a45d7ab2ba3af2192a09","Exclusive first-time offer. | GC10M for $10 plus FREE SC30."
"Chumba Casino","daily","Daily login reward","Amount not published in collected terms","https://www.chumbacasino.com/promotions","2026-09-24T22:06:57.073Z","published","cb3434c31b052b6ba798","Log in daily to claim your bonus. | No SC or GC amount is stated."
"Chumba Casino","cash","100 SC","Cash redemption minimum.","https://help.chumbacasino.com/article/What-you-need-to-know-to-redeem-your-prize","2026-09-24T22:08:18.409Z","published","71dd3d981f2a34fedc7f","If it is your first time to redeem, you need to re-verify your phone number. | Identity verification and banking-information validation are required to redeem prizes."
"Chumba Casino","gift","10 SC","Gift-card redemption minimum.","https://help.chumbacasino.com/article/What-you-need-to-know-to-redeem-your-prize","2026-09-24T22:08:18.409Z","published","4594baf7502b8e59b606","If it is your first time to redeem, you need to re-verify your phone number. | Identity verification and banking-information validation are required to redeem prizes."
"McLuck","signup","2.5 SC free","On signup; no purchase","https://www.mcluck.com/promotions","2026-09-24T22:07:32.135Z","published","ea08f41262dc14c0a152","Register now to claim the reward."
"McLuck","daily","Daily login reward","Amount not published in collected terms","https://www.mcluck.com/promotions","2026-09-24T22:07:32.135Z","published","c592b7230bb5e627e1cb","Log in daily to claim rewards. | The reward amount and currency are not stated."
